183,BTS Sirkuit Sentul,https://strava.app.link/4eSg3UihXEb,Tidak ada temuan,Tidak ada,2023-11-23
184,jalur La BB tole Iskandar,https://strava.app.link/aHVxzrCiXEb,Tidak ada temuan,Tidak ada,2023-11-23
185,BTS Kp Gudang Citeureup,https://strava.app.link/yIimW8MlXEb,Tidak ada temuan,Tidak ada,2023-11-23
186,BB GTN - MKR viakalimalang,https://strava.app.link/D3YRJiZlXEb,Tidak ada temuan,Tidak ada,2023-11-23
187,jalur La diskominfo rawakalong,https://strava.app.link/tH10zermXEb,Tidak ada temuan,Tidak ada,2023-11-23
188,jalur La BB raya bogor,https://strava.app.link/V7Cn9iLpXEb,Tidak ada temuan,Tidak ada,2023-11-23
189,Jalur DWDM HHR-DCI,https://strava.app.link/hkToYT8GYEb,Ada pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-23
190,Jalur DWDM TBS-DCI,https://strava.app.link/DVcBIfOyYEb,Tidak ada temuan,Tidak ada,2023-11-23
191,jalur La bts cijantung,https://strava.app.link/EIoxHFKAYEb,Tidak ada temuan,Tidak ada,2023-11-24
192,jalur La bts pengantin ali,https://strava.app.link/W4aDOksDYEb,Tidak ada temuan,Tidak ada,2023-11-24
193,jalur La bts h baping,https://strava.app.link/x0dMLJBHYEb,Tidak ada temuan,Tidak ada,2023-11-24
194,jalur La bts anik ciracas,https://strava.app.link/YpD3mR1JYEb,Tidak ada temuan,Tidak ada,2023-11-24
195,jalur La bts parung serab,https://strava.app.link/NhsgleUQYEb,Tidak ada temuan,Tidak ada,2023-11-24
196,jalur La bts depok timur,https://strava.app.link/XT4ea06SYEb,Tidak ada temuan,Tidak ada,2023-11-24
197,jalur La bts kavling kujang,https://strava.app.link/8g5eQfKVYEb,Tidak ada temuan,Tidak ada,2023-11-24
198,jalur La bts irnusa,https://strava.app.link/B7IN0DoXYEb,Tidak ada temuan,Tidak ada,2023-11-24
199,jalur La bts pitara,https://strava.app.link/LRkQ7aaZYEb,Tidak ada temuan,Tidak ada,2023-11-24
200,Jalur DWDM HHR-KGD,https://strava.app.link/bdf84xcJYEb,Tidak ada temuan,Tidak ada,2023-11-24
201,Jalur DWDM TBS-DCI,https://strava.app.link/63yP83Yg0Eb,Tidak ada temuan,Tidak ada,2023-11-24
202,Jalur DWDM HHR-DCI,https://strava.app.link/Ri4dhsWd0Eb,Ada pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-24
203,Jalur DWDM HHR-KGD,https://strava.app.link/rvScYMgo0Eb,Tidak ada temuan,Tidak ada,2023-11-25
204,Jalur DWDM HHR-DCI,https://strava.app.link/GzBmcQVH1Eb,Tidak ada temuan,Tidak ada,2023-11-25
